Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
84,3.0625,2.5,-2.75,-0.07763672,-0.05810547,1.005859,0.1459961,-0.02148438,-0.4960938
86,2.8125,2.3125,-2.5,-0.07373047,-0.07763672,0.9946289,0.1567383,-0.01708984,-0.5102539
87,2,2.5625,-2.125,-0.06982422,-0.06982422,0.9868164,0.1567383,-0.01708984,-0.5102539
89,2.0625,1.5625,-2.125,-0.07373047,-0.06982422,1.001953,0.1567383,-0.01708984,-0.5102539
90,1.5,2.1875,-1.5625,-0.08154297,-0.07373047,0.9946289,0.1567383,-0.01708984,-0.5102539
92,1.5625,1.3125,-1.4375,-0.06591797,-0.08544922,0.9946289,0.1567383,-0.01708984,-0.5102539
93,1.125,0.875,-0.125,-0.06591797,-0.08935547,0.9868164,0.1567383,-0.01708984,-0.5102539
95,1.5625,0.9375,0.25,-0.07373047,-0.09326172,1.001953,0.1567383,-0.01708984,-0.5102539
96,1.625,-0.375,0.1875,-0.06201172,-0.07373047,0.9985352,0.1503906,-0.01513672,-0.5029297
98,1.1875,-0.1875,0.8125,-0.05029297,-0.06591797,0.9829102,0.1503906,-0.01513672,-0.5029297
99,1.5,-0.875,1.5,-0.04248047,-0.05810547,1.001953,0.1503906,-0.01513672,-0.5029297
101,1.625,-1.25,1.4375,-0.07373047,-0.07763672,0.9829102,0.1547852,-0.01708984,-0.4960938
102,1.5,-2.125,1.4375,-0.05419922,-0.1010742,1.017578,0.1547852,-0.01708984,-0.4960938
104,1.125,-2.0625,1.4375,-0.05029297,-0.07373047,1.005859,0.1547852,-0.01708984,-0.4960938
105,1.375,-2.75,1.625,-0.06591797,-0.06982422,0.9907227,0.1503906,-0.02587891,-0.5053711
107,1.625,-3.25,1.75,-0.05810547,-0.06201172,0.9946289,0.1503906,-0.02587891,-0.5053711
108,1.3125,-3.375,1.75,-0.05029297,-0.08154297,1.005859,0.1503906,-0.02587891,-0.5053711
110,0.8125,-3.375,0.9375,-0.06201172,-0.05810547,0.9946289,0.1503906,-0.02587891,-0.5053711
111,1.25,-4.0625,1,-0.06591797,-0.07373047,1.013672,0.1459961,-0.01708984,-0.5053711
113,0.6875,-3.6875,1.1875,-0.04638672,-0.09326172,1.013672,0.1459961,-0.01708984,-0.5053711
114,0.6875,-3.125,1.125,-0.05419922,-0.08154297,0.9946289,0.1459961,-0.01708984,-0.5053711
116,-0.0625,-3.0625,1.3125,-0.06201172,-0.06201172,0.9829102,0.1616211,-0.01708984,-0.4960938
117,-0.0625,-2.6875,1.5,-0.06201172,-0.08544922,1.005859,0.1616211,-0.01708984,-0.4960938
119,-0.0625,-2.875,1.5,-0.04638672,-0.09326172,0.9829102,0.1616211,-0.01708984,-0.4960938
120,0.9375,-2,0.375,-0.05029297,-0.08154297,1.001953,0.1479492,-0.02392578,-0.5078125
122,0.875,-1.5,0.5625,-0.05810547,-0.07373047,1.013672,0.1479492,-0.02392578,-0.5078125
123,1.5625,-1.375,0,-0.04248047,-0.06201172,0.9985352,0.1479492,-0.02392578,-0.5078125
125,1.125,-0.8125,0.1875,-0.04638672,-0.06982422,0.9946289,0.1479492,-0.02392578,-0.5078125
126,1.8125,0.0625,-0.3125,-0.06591797,-0.09326172,0.9946289,0.1479492,-0.02392578,-0.5078125
128,1.8125,0.8125,-0.5625,-0.05029297,-0.08154297,1.013672,0.1479492,-0.02392578,-0.5078125
129,2.0625,1.4375,-1.125,-0.05029297,-0.06982422,0.9985352,0.1479492,-0.02392578,-0.5078125
131,2.0625,1.0625,-1,-0.06591797,-0.07763672,1.005859,0.1567383,-0.01269531,-0.4960938
132,2.375,2.125,-1.8125,-0.06591797,-0.06591797,1.001953,0.1567383,-0.01269531,-0.4960938
134,2.4375,1.9375,-1.25,-0.07373047,-0.06201172,1.029297,0.1567383,-0.01269531,-0.4960938
