Roll | phi | X (deg), Pitch | theta | Y (deg), Yaw | psi | Z (deg)
-5.214097,-6.205545,-74.93089
-5.007915,-6.198705,-75.31107
-4.800134,-6.11299,-75.6798
-4.638229,-5.963919,-75.99574
-4.483429,-5.808117,-76.23117
-4.339646,-5.628546,-76.40684
-4.199666,-5.467742,-76.56582
-4.018279,-5.359229,-76.7392
-3.8363,-5.26676,-76.96915
-3.667935,-5.133714,-77.24648
-3.510812,-4.946913,-77.54474
-3.344237,-4.728022,-77.83611
-3.208767,-4.499658,-78.1034
-3.1539,-4.296286,-78.31614
-3.140041,-4.144186,-78.45853
-3.104336,-4.003475,-78.56364
-3.032428,-3.846478,-78.67029
-2.97985,-3.677126,-78.76437
-2.976,-3.504555,-78.81428
-2.9741,-3.357982,-78.811
-2.959084,-3.254911,-78.80695
-2.941279,-3.20477,-78.8213
-2.935744,-3.183592,-78.85204
-2.91863,-3.170994,-78.88286
-2.922811,-3.171345,-78.91231
-2.949594,-3.193681,-78.91861
-2.976536,-3.210661,-78.90487
-3.009693,-3.209261,-78.87393
-3.044362,-3.189523,-78.8139
-3.05183,-3.14238,-78.74281
-3.037557,-3.07739,-78.67055
-3.02907,-2.988821,-78.57143
-3.027424,-2.880851,-78.41797
-3.036144,-2.765615,-78.21201
-3.069873,-2.646722,-77.96843
-3.142678,-2.540092,-77.69095
-3.23167,-2.462569,-77.37256
-3.306133,-2.407933,-77.02878
-3.342421,-2.389344,-76.67496
-3.396825,-2.415437,-76.30905
-3.421979,-2.478901,-75.91255
-3.364163,-2.592839,-75.52127
-3.276565,-2.746931,-75.16188
-3.183587,-2.950203,-74.81619
-3.122813,-3.14843,-74.41269
-3.113512,-3.328432,-73.93
-3.163249,-3.479055,-73.3959
-3.261076,-3.601745,-72.84056
-3.363722,-3.670832,-72.30389
-3.446897,-3.671688,-71.74941
-3.460459,-3.595756,-71.10709
-3.426149,-3.473325,-70.29191
-3.400195,-3.333989,-69.24218
-3.469028,-3.21778,-67.91171
-3.638844,-3.233741,-66.30171
-3.821962,-3.431541,-64.53709
-4.029557,-3.757506,-62.76143
-4.261497,-4.087475,-61.08593
-4.549836,-4.363698,-59.51703
-4.862929,-4.535154,-58.03052
-5.262021,-4.562895,-56.58583
-5.732975,-4.446321,-55.11236
-6.294424,-4.13636,-53.56399
-6.81021,-3.698406,-51.94593
-7.171554,-3.270748,-50.3116
-7.393845,-2.905496,-48.72102
-7.526145,-2.633012,-47.13171
-7.537205,-2.431602,-45.50559
-7.506162,-2.277011,-43.79712
-7.510816,-2.119303,-41.97566
-7.598584,-1.865737,-40.03637
-7.67693,-1.510043,-38.06439
-7.71452,-1.032264,-36.10198
-7.663674,-0.4163794,-34.18169
-7.50145,0.3645916,-32.29212
-7.207967,1.263351,-30.40448
-6.730737,2.195709,-28.57723
-6.071649,3.054387,-26.92852
-5.412365,3.765914,-25.4815
-4.890877,4.38877,-24.14633
-4.554131,4.763302,-22.81419
-4.290757,4.946236,-21.53231
-4.264353,4.958202,-20.321
-4.426752,4.826261,-19.18212
-4.799076,4.577174,-18.03099
-5.304917,4.304718,-16.75799
-5.890739,4.051205,-15.27347
-6.445732,3.913326,-13.58975
-6.915467,3.902255,-11.81682
-7.276859,3.964746,-10.05728
-7.596594,4.040687,-8.319922
-7.75372,4.207454,-6.622931
-7.811225,4.378813,-5.053604
-7.787716,4.475007,-3.623687
-7.760239,4.48768,-2.342699
-7.839702,4.458547,-1.098473
-8.052835,4.443824,0.2624162
-8.365809,4.42984,1.816526
-8.697875,4.419769,3.476055
-9.006257,4.428549,5.164787
-9.223266,4.394761,6.882982
-9.380371,4.273493,8.576985
-9.682242,4.133602,10.28852
-10.19808,3.948631,12.11531
-10.64832,3.611407,14.07376
-11.02298,3.407233,15.97906
-11.34789,3.246992,17.72053
-11.81515,3.153304,19.33203
-12.12932,3.163377,20.76503
-12.36686,3.260081,22.01467
-12.12211,3.617816,23.07882
-12.1527,4.201713,24.30515
-11.88361,4.618469,25.81293
-11.41372,4.948279,27.38316
-10.94332,5.179391,28.84263
-10.53641,5.350193,30.1439
-10.17741,5.474035,31.32186
-9.774776,5.581626,32.53107
-9.356555,5.665194,33.7717
-8.947783,5.723211,34.99006
-8.591219,5.798752,36.1386
-8.287298,5.904757,37.20782
-7.968855,6.024546,38.25053
-7.597314,6.138364,39.28478
-7.179278,6.219737,40.38514
-6.610382,6.233852,41.59552
-5.914527,6.207499,42.78559
-5.256092,6.13834,43.93992
-4.700799,6.08013,44.97699
-4.383375,6.028264,45.93158
-4.170969,5.866601,46.86155
-3.979345,5.683506,47.73199
-3.781795,5.51155,48.57448
-3.577618,5.388621,49.45379
