Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
258,0.25,0,0.0625,0.03662109,-0.06591797,0.9897461,-0.2119141,0.109375,-0.4233398
262,0.125,-0.1875,-0.125,0.05615234,-0.06591797,1.013184,-0.2119141,0.109375,-0.4233398
263,0.125,0.1875,-0.125,0.06005859,-0.07763672,1.001465,-0.2119141,0.109375,-0.4233398
267,0.125,-0.1875,0,0.04833984,-0.109375,0.9897461,-0.2119141,0.109375,-0.4233398
268,0.3125,0,0.0625,0.03662109,-0.07373047,1.005371,-0.2119141,0.109375,-0.4233398
272,0.25,0,-0.0625,0.06005859,-0.06201172,0.9975586,-0.2119141,0.109375,-0.4233398
274,0.1875,0.125,-0.0625,0.05224609,-0.06982422,0.9936523,-0.2119141,0.109375,-0.4233398
278,0.125,0.0625,0,0.04833984,-0.08154297,1.001465,-0.2119141,0.1196289,-0.4262695
279,-0.125,-0.4375,0,0.04833984,-0.08935547,0.9897461,-0.2119141,0.1196289,-0.4262695
283,0,0.125,0,0.06005859,-0.07763672,0.9775391,-0.2119141,0.1196289,-0.4262695
284,0.25,-0.0625,-0.0625,0.04833984,-0.07763672,0.9975586,-0.2143555,0.1171875,-0.4287109
288,-0.3125,-0.0625,-0.0625,0.03662109,-0.07763672,0.9936523,-0.2143555,0.1171875,-0.4287109
289,0.0625,0.1875,0,0.06005859,-0.08154297,0.9936523,-0.2143555,0.1171875,-0.4287109
293,0.0625,-0.1875,0.125,0.05224609,-0.06201172,1.009277,-0.2197266,0.125,-0.4365234
294,0.0625,-0.0625,0,0.06396484,-0.07763672,0.9897461,-0.2197266,0.125,-0.4365234
298,0.25,0,-0.0625,0.04833984,-0.06982422,1.013184,-0.2197266,0.125,-0.4365234
299,0.0625,-0.375,-0.1875,0.06396484,-0.07763672,0.9936523,-0.2197266,0.125,-0.4365234
303,0.0625,0,0.125,0.05615234,-0.06591797,0.9975586,-0.2197266,0.125,-0.4365234
304,0.125,-0.3125,0.125,0.05224609,-0.06591797,1.009277,-0.2197266,0.125,-0.4365234
308,0,0,-0.125,0.04443359,-0.08935547,0.9897461,-0.2197266,0.125,-0.4365234
309,0.0625,-0.0625,-0.125,0.04443359,-0.08154297,1.001465,-0.2119141,0.1171875,-0.4155273
313,0.1875,0,-0.0625,0.05224609,-0.05810547,1.001465,-0.2119141,0.1171875,-0.4155273
314,0.0625,-0.0625,0,0.04833984,-0.05810547,0.9936523,-0.2119141,0.1171875,-0.4155273
318,0,-0.125,0,0.07958984,-0.07763672,1.001465,-0.2089844,0.125,-0.4262695
319,0.0625,0,0.0625,0.06005859,-0.04980469,1.001465,-0.2089844,0.125,-0.4262695
323,0,0.0625,0.25,0.05224609,-0.09765625,0.9775391,-0.2089844,0.125,-0.4262695
324,0,-0.1875,-0.125,0.04833984,-0.08154297,0.9819336,-0.2143555,0.1123047,-0.434082
328,0.125,-0.0625,-0.0625,0.04833984,-0.06591797,1.005371,-0.2143555,0.1123047,-0.434082
329,0,-0.0625,0,0.06005859,-0.07373047,0.9936523,-0.2143555,0.1123047,-0.434082
333,0.0625,-0.4375,0.125,0.05615234,-0.07763672,0.9819336,-0.2143555,0.1123047,-0.434082
334,0.125,-0.1875,-0.0625,0.04052734,-0.08544922,1.001465,-0.2143555,0.1123047,-0.434082
338,0.125,0,0,0.05224609,-0.05810547,0.9819336,-0.2143555,0.1123047,-0.434082
339,0,-0.25,-0.0625,0.03662109,-0.09765625,1.005371,-0.2143555,0.1123047,-0.434082
343,0,0,0,0.05224609,-0.07373047,1.001465,-0.2167969,0.125,-0.434082
344,0.125,0,0.1875,0.06005859,-0.09375,0.9897461,-0.2167969,0.125,-0.434082
348,0.3125,-0.125,0,0.05224609,-0.08154297,0.9975586,-0.2167969,0.125,-0.434082
349,0.0625,0,0,0.06005859,-0.07373047,1.021484,-0.2167969,0.1225586,-0.4287109
353,0,-0.3125,0.0625,0.06787109,-0.08544922,1.025391,-0.2167969,0.1225586,-0.4287109
354,0.0625,-0.125,0,0.07958984,-0.06591797,0.9858398,-0.2167969,0.1225586,-0.4287109
358,-0.0625,0.0625,0,0.04443359,-0.05810547,1.01709,-0.2089844,0.1123047,-0.4287109
359,0,0,0,0.04833984,-0.06591797,0.9897461,-0.2089844,0.1123047,-0.4287109
363,0.375,0,0,0.05615234,-0.06201172,1.005371,-0.2089844,0.1123047,-0.4287109
364,0,-0.3125,0,0.06005859,-0.07763672,0.9897461,-0.2089844,0.1123047,-0.4287109
368,0.0625,0,-0.1875,0.04833984,-0.08154297,1.013184,-0.2089844,0.1123047,-0.4287109
369,0,0,-0.25,0.04833984,-0.08935547,1.01709,-0.2089844,0.1123047,-0.4287109
373,0.0625,-0.3125,0.125,0.04833984,-0.09375,0.9936523,-0.2089844,0.1123047,-0.4287109
374,0.25,-0.0625,0.125,0.04443359,-0.07373047,0.9858398,-0.2119141,0.1274414,-0.4287109
378,0.0625,-0.125,-0.0625,0.04833984,-0.08544922,1.009277,-0.2119141,0.1274414,-0.4287109
379,0,-0.0625,0,0.04833984,-0.07373047,0.9975586,-0.2119141,0.1274414,-0.4287109
383,0.25,0.0625,0.125,0.04443359,-0.09375,0.9858398,-0.206543,0.1274414,-0.4414063
384,0,0,0,0.05615234,-0.07373047,0.9897461,-0.206543,0.1274414,-0.4414063
388,0.1875,-0.1875,-0.0625,0.05615234,-0.08544922,1.021484,-0.206543,0.1274414,-0.4414063
389,0.1875,0,0,0.06396484,-0.09765625,0.9819336,-0.206543,0.1298828,-0.4262695
393,0,0.0625,-0.25,0.04443359,-0.05810547,0.9858398,-0.206543,0.1298828,-0.4262695
394,0,-0.1875,0,0.06396484,-0.06591797,1.009277,-0.206543,0.1298828,-0.4262695
398,0.125,0,-0.0625,0.06396484,-0.08935547,1.001465,-0.206543,0.1298828,-0.4262695
399,-0.1875,0,0.0625,0.03662109,-0.09375,0.9858398,-0.206543,0.1298828,-0.4262695
403,0.1875,-0.125,-0.0625,0.06005859,-0.07373047,1.009277,-0.206543,0.1298828,-0.4262695
404,0.125,0.125,-0.125,0.04833984,-0.07763672,1.009277,-0.206543,0.1298828,-0.4262695
408,0.125,0,-0.0625,0.05224609,-0.07763672,0.9936523,-0.2167969,0.1171875,-0.4208984
409,0,0,0,0.05615234,-0.08154297,0.9936523,-0.2167969,0.1171875,-0.4208984
413,0,0.0625,0,0.05224609,-0.09765625,1.005371,-0.2167969,0.1171875,-0.4208984
414,0.0625,-0.0625,0.0625,0.05615234,-0.08154297,0.9936523,-0.2119141,0.1147461,-0.4287109
418,0.0625,0,0,0.05615234,-0.07763672,1.005371,-0.2119141,0.1147461,-0.4287109
419,0,0,-0.0625,0.04833984,-0.06201172,0.9975586,-0.2119141,0.1147461,-0.4287109
423,-0.0625,0.1875,-0.125,0.05224609,-0.07763672,0.9858398,-0.2119141,0.1225586,-0.4262695
424,0.125,-0.25,-0.0625,0.06787109,-0.08154297,0.9936523,-0.2119141,0.1225586,-0.4262695
428,0,0.0625,0,0.05224609,-0.06982422,1.005371,-0.2119141,0.1225586,-0.4262695
429,0.125,-0.0625,-0.0625,0.05615234,-0.07373047,0.9936523,-0.2119141,0.1225586,-0.4262695
433,0.375,-0.3125,0.0625,0.05615234,-0.06591797,0.9897461,-0.2119141,0.1225586,-0.4262695
435,-0.25,0.0625,0,0.07568359,-0.06982422,0.9736328,-0.2119141,0.1225586,-0.4262695
439,0.0625,0.125,0,0.06396484,-0.09375,0.9975586,-0.2119141,0.1225586,-0.4262695
440,0.25,-0.125,0.0625,0.04833984,-0.08154297,1.001465,-0.1987305,0.1274414,-0.4311523
444,0,0,0,0.05224609,-0.06591797,1.013184,-0.1987305,0.1274414,-0.4311523
445,0.1875,0,0,0.04833984,-0.08154297,0.9936523,-0.1987305,0.1274414,-0.4311523
449,0.3125,0.125,0.0625,0.04443359,-0.1015625,1.001465,-0.2167969,0.1123047,-0.4287109
450,0,0,0.0625,0.06396484,-0.08935547,0.9936523,-0.2167969,0.1123047,-0.4287109
454,0.0625,0.0625,-0.0625,0.05615234,-0.07763672,0.9975586,-0.2167969,0.1123047,-0.4287109
455,-0.125,-0.1875,-0.25,0.05615234,-0.08154297,1.009277,-0.2197266,0.1298828,-0.418457
459,0.125,-0.125,0.0625,0.04833984,-0.06982422,0.9975586,-0.2197266,0.1298828,-0.418457
460,0,0.1875,0,0.05615234,-0.07763672,1.005371,-0.2197266,0.1298828,-0.418457
464,0.0625,0,0.25,0.06396484,-0.06982422,0.9975586,-0.2197266,0.1298828,-0.418457
465,0,-0.1875,-0.125,0.05615234,-0.07763672,0.9975586,-0.2197266,0.1298828,-0.418457
