Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
69,0.125,-0.0625,-0.125,-0.02685547,0,0.9985352,-0.1923828,-0.2016602,-0.4418945
71,0.125,-0.0625,-0.125,-0.02685547,0,0.9985352,-0.1923828,-0.2016602,-0.4418945
73,-0.0625,0,-0.125,0.007324219,-0.007324219,0.9907227,-0.1967773,-0.215332,-0.4467773
75,0,-0.25,0,-0.01123047,0,0.9790039,-0.1967773,-0.215332,-0.4467773
77,0,-0.1875,-0.125,-0.003417969,0,0.9555664,-0.1967773,-0.215332,-0.4467773
79,-0.0625,0,-0.1875,-0.007324219,0,0.9790039,-0.1967773,-0.215332,-0.4467773
81,0,-0.25,-0.25,0.007324219,0.003417969,0.9985352,-0.1967773,-0.215332,-0.4467773
83,-0.125,0,-0.125,-0.01904297,0.01513672,0.9985352,-0.1967773,-0.2177734,-0.4443359
85,-0.0625,-0.0625,-0.1875,0,0.01513672,0.9868164,-0.1967773,-0.2177734,-0.4443359
87,-0.125,-0.0625,-0.1875,-0.003417969,-0.003417969,0.9829102,-0.1967773,-0.2177734,-0.4443359
89,0.125,-0.125,-0.1875,-0.003417969,-0.01513672,0.9790039,-0.1923828,-0.2109375,-0.4570313
91,0,-0.1875,0,0,-0.01513672,0.9750977,-0.1923828,-0.2109375,-0.4570313
93,-0.3125,0,-0.1875,0,0.003417969,0.9985352,-0.1923828,-0.2109375,-0.4570313
95,-0.0625,0,-0.125,-0.01123047,0.007324219,0.9946289,-0.1923828,-0.2084961,-0.4443359
97,-0.125,-0.125,-0.0625,-0.01123047,-0.01513672,0.9790039,-0.1923828,-0.2084961,-0.4443359
99,0,-0.0625,-0.25,0.01123047,0.007324219,0.9868164,-0.1923828,-0.2084961,-0.4443359
101,-0.0625,-0.1875,-0.125,-0.007324219,0.01123047,0.9829102,-0.1923828,-0.2084961,-0.4443359
103,0,-0.25,-0.1875,-0.01123047,-0.01513672,0.9711914,-0.1899414,-0.2109375,-0.4418945
105,-0.125,0,-0.125,-0.01904297,-0.01513672,0.9946289,-0.1899414,-0.2109375,-0.4418945
107,-0.0625,0.0625,0,-0.01123047,0.01513672,0.9790039,-0.1899414,-0.2109375,-0.4418945
109,0.0625,0,-0.125,-0.01513672,-0.007324219,0.9790039,-0.1899414,-0.2202148,-0.4394531
111,-0.125,0.0625,-0.1875,-0.003417969,0.01123047,0.9868164,-0.1899414,-0.2202148,-0.4394531
113,-0.1875,-0.25,-0.1875,-0.003417969,-0.01123047,0.9790039,-0.1899414,-0.2202148,-0.4394531
115,-0.25,0,0,-0.02294922,-0.007324219,0.9868164,-0.1875,-0.2109375,-0.4443359
117,-0.0625,0.0625,-0.125,-0.01513672,-0.003417969,1.001953,-0.1875,-0.2109375,-0.4443359
119,0,-0.0625,-0.4375,-0.02685547,0.007324219,0.9711914,-0.1875,-0.2109375,-0.4443359
121,-0.1875,0,-0.25,0,0,0.9868164,-0.1875,-0.2109375,-0.4443359
123,-0.125,0,-0.1875,0,-0.003417969,0.9829102,-0.1875,-0.2109375,-0.4443359
125,0,0,-0.25,-0.01513672,0.003417969,0.9672852,-0.1875,-0.2109375,-0.4443359
127,-0.25,0,-0.1875,-0.007324219,-0.01123047,0.9711914,-0.1875,-0.2109375,-0.4443359
129,-0.1875,0,-0.1875,-0.02685547,-0.01904297,0.9790039,-0.1923828,-0.2133789,-0.4394531
131,0,0,0,-0.01513672,0.003417969,0.9946289,-0.1923828,-0.2133789,-0.4394531
133,-0.125,-0.125,-0.0625,-0.007324219,0.007324219,0.9829102,-0.1923828,-0.2133789,-0.4394531
135,0,0,-0.125,-0.02294922,-0.003417969,0.9946289,-0.1943359,-0.2084961,-0.4418945
137,0,0,-0.1875,-0.007324219,0.01513672,0.9868164,-0.1943359,-0.2084961,-0.4418945
139,-0.0625,0,-0.0625,-0.01904297,0,0.9750977,-0.1943359,-0.2084961,-0.4418945
