Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
69,-0.3125,-0.3125,-0.1875,-0.03466797,-0.007324219,0.9672852,-0.1806641,-0.04980469,-0.3720703
71,-0.3125,-0.3125,-0.1875,-0.03466797,-0.007324219,0.9672852,-0.1806641,-0.04980469,-0.3720703
73,-0.0625,0,0.1875,-0.03076172,0.01513672,0.9594727,-0.1831055,-0.04003906,-0.3642578
75,-0.4375,-0.0625,0.125,-0.02685547,0.02685547,0.9868164,-0.1831055,-0.04003906,-0.3642578
77,-0.25,0,-0.0625,-0.03076172,0.01904297,0.9750977,-0.1831055,-0.04003906,-0.3720703
79,-0.375,0.125,0.0625,-0.01513672,0.01513672,0.9711914,-0.1831055,-0.04003906,-0.3720703
81,-0.0625,0,-0.0625,-0.007324219,0.01513672,0.9672852,-0.1831055,-0.04003906,-0.3720703
83,-0.125,0.0625,-0.125,-0.04638672,-0.01123047,0.9672852,-0.1831055,-0.04003906,-0.3720703
85,-0.125,-0.1875,-0.0625,-0.02294922,-0.007324219,0.9750977,-0.1733398,-0.04980469,-0.3774414
87,0.0625,0,0,-0.03857422,0.01513672,0.9633789,-0.1733398,-0.04980469,-0.3774414
89,-0.1875,0.1875,0.125,-0.01513672,-0.01123047,0.9829102,-0.1733398,-0.04980469,-0.3774414
91,-0.0625,0,0.0625,-0.02294922,0.01513672,0.9594727,-0.1782227,-0.04492188,-0.3618164
93,-0.1875,-0.0625,0,-0.03076172,0.01123047,0.9672852,-0.1782227,-0.04492188,-0.3618164
95,-0.4375,0,0.0625,-0.03076172,0.01513672,0.9516602,-0.1782227,-0.04492188,-0.3618164
97,-0.125,0,0,-0.04638672,0,0.9438477,-0.1733398,-0.04248047,-0.3671875
99,-0.25,0,-0.0625,-0.01904297,0.003417969,0.9555664,-0.1733398,-0.04248047,-0.3671875
101,-0.25,-0.1875,-0.0625,-0.03076172,0,0.9790039,-0.1733398,-0.04248047,-0.3671875
103,-0.1875,-0.125,0,-0.02685547,0.02294922,0.9594727,-0.1733398,-0.04248047,-0.3671875
105,-0.0625,0.0625,0.125,-0.03076172,0.01904297,0.9438477,-0.1733398,-0.04248047,-0.3774414
