Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
113,0,0.0625,-0.0625,0.01904297,-0.02490234,0.9897461,0.0546875,0.2001953,-0.4414063
117,0,0.0625,-0.0625,0.01904297,-0.02490234,0.9897461,0.0546875,0.2001953,-0.4414063
118,0.0625,0.25,0.25,0.02294922,0.005859375,1.012695,0.04199219,0.2001953,-0.4438477
122,-0.0625,0.0625,-0.0625,0.007324219,-0.005371094,1.009277,0.04199219,0.2001953,-0.4438477
123,0.1875,0.0625,0,0.01513672,-0.005371094,1.024414,0.0546875,0.1977539,-0.4536133
127,0,0.125,0,0.003417969,-0.005371094,1.009277,0.0546875,0.1977539,-0.4536133
128,0.1875,0,0.0625,0.02685547,-0.009277344,0.9741211,0.0546875,0.1977539,-0.4536133
132,0.25,0.0625,0.125,0.007324219,0.005859375,1.016602,0.05224609,0.2001953,-0.4536133
133,0.0625,0.125,0.25,0.02294922,-0.001464844,1.005371,0.05224609,0.2001953,-0.4536133
137,0.0625,0,0,0.01513672,-0.009277344,1.005371,0.05224609,0.2001953,-0.4536133
138,0.0625,0.3125,0,0.02294922,-0.001464844,1.001465,0.05224609,0.2001953,-0.4536133
142,0.0625,0,0.125,0.007324219,0.001953125,1.016602,0.05224609,0.2001953,-0.4536133
143,0.25,0.0625,-0.0625,0.01904297,-0.009277344,1.016602,0.05224609,0.2001953,-0.4536133
147,0.3125,0.25,-0.125,0.02294922,0.001953125,0.9975586,0.05224609,0.2001953,-0.4536133
148,0.125,0.1875,0,0.01904297,-0.009277344,1.005371,0.04199219,0.2080078,-0.4462891
152,0.125,0.0625,-0.0625,0.02685547,0.001953125,1.020508,0.04199219,0.2080078,-0.4462891
153,0.125,0.125,0,0.01904297,-0.001464844,1.005371,0.04199219,0.2080078,-0.4462891
157,-0.0625,0.0625,-0.125,0.02294922,0.01757813,1.005371,0.04443359,0.2080078,-0.4462891
158,0.125,0.25,0,-0.0078125,0.001953125,0.9897461,0.04443359,0.2080078,-0.4462891
162,0.3125,0.25,0.0625,0.02685547,-0.001464844,1.005371,0.04443359,0.2080078,-0.4462891
163,0,0.4375,-0.0625,0.01904297,-0.01708984,1.009277,0.04443359,0.2080078,-0.4462891
167,0.25,0,0,0.01904297,0.009765625,1.016602,0.04199219,0.2050781,-0.4487305
168,0,0.0625,-0.0625,0.01904297,0.02148438,1.005371,0.04199219,0.2050781,-0.4487305
172,0.125,0.1875,-0.125,0.01513672,-0.009277344,0.9858398,0.04199219,0.2050781,-0.4487305
173,0,0,0.0625,0.01904297,-0.005371094,1.001465,0.04443359,0.2128906,-0.4438477
177,0,0,0,0.007324219,0.005859375,0.9975586,0.04443359,0.2128906,-0.4438477
178,0,0.0625,0,0.007324219,-0.01318359,1.016602,0.04443359,0.2128906,-0.4438477
182,0,0.1875,0.125,0.007324219,0.009765625,0.9780273,0.04736328,0.2026367,-0.4511719
183,0.1875,0.25,-0.125,0.01513672,-0.001464844,1.001465,0.04736328,0.2026367,-0.4511719
187,0.0625,0.25,-0.125,0.01123047,0.005859375,0.9975586,0.04736328,0.2026367,-0.4511719
188,-0.0625,0.125,0,0.02294922,0.005859375,1.005371,0.04736328,0.2026367,-0.4511719
192,0.0625,0.125,0.0625,-0.00390625,-0.005371094,1.001465,0.05224609,0.2026367,-0.4487305
193,0.1875,0,0.0625,0.02685547,0.005859375,1.016602,0.05224609,0.2026367,-0.4487305
