Packet Number,Element 11, Element 12, Element 13, Element 21, Element 22, Element 23, Element 31, Element 32, Element 33
6822,0.9056296,0.4232307,-0.02666117,-0.4198854,0.9037299,0.08347704,0.05942455,-0.06440464,0.996153
6825,0.90765,0.4188104,-0.02773507,-0.4154762,0.9058738,0.08229201,0.05958923,-0.06316908,0.9962222
6828,0.9093849,0.4149724,-0.02857668,-0.4117622,0.9078211,0.0794504,0.05891225,-0.06048421,0.996429
6831,0.910794,0.4118352,-0.02909139,-0.4088235,0.9094751,0.07562096,0.05760127,-0.05698185,0.9967123
6834,0.9119436,0.4092552,-0.02947678,-0.406452,0.9108581,0.07165334,0.05617368,-0.05336292,0.9969939
6837,0.9129274,0.4070278,-0.02986878,-0.4044029,0.9120398,0.0681328,0.05497345,-0.05012128,0.9972292
6840,0.9138823,0.4048025,-0.03089014,-0.4023428,0.913232,0.06424654,0.05421702,-0.04628534,0.9974558
6843,0.9147599,0.4027402,-0.03185276,-0.4004691,0.9143451,0.05997815,0.05328003,-0.04210956,0.9976913
6846,0.9155753,0.4008322,-0.03248928,-0.3987617,0.9153611,0.0557061,0.05206823,-0.03804764,0.9979185
6849,0.9163452,0.3990393,-0.03285041,-0.3971722,0.9162977,0.05150494,0.05065325,-0.03414903,0.9981323
6852,0.9170601,0.3974273,-0.03243855,-0.3957351,0.9170952,0.04826957,0.04893288,-0.03142903,0.9983075
6855,0.9177388,0.3959535,-0.03124223,-0.3943748,0.9177631,0.04668282,0.04715719,-0.03052149,0.998421
6858,0.9184242,0.3944918,-0.02954591,-0.3929829,0.9183791,0.04630285,0.04540045,-0.03091462,0.9984903
6861,0.9190359,0.3931598,-0.02825077,-0.3916878,0.9189281,0.04638385,0.0441967,-0.03156294,0.998524
6864,0.9194054,0.3923526,-0.02744381,-0.3908899,0.9192488,0.04676301,0.04357528,-0.03226665,0.998529
6867,0.9196236,0.3919103,-0.02643186,-0.3904095,0.9193673,0.04841538,0.04327508,-0.03420468,0.9984775
6870,0.9200628,0.390909,-0.02597178,-0.3893213,0.9197006,0.05079056,0.04374075,-0.03661914,0.9983715
6873,0.9206686,0.3894642,-0.02620956,-0.3877625,0.9202243,0.05317374,0.04482794,-0.03879231,0.9982412
6877,0.9213275,0.3878465,-0.027031,-0.3860219,0.9208384,0.05517118,0.04628913,-0.04039617,0.9981109
6880,0.9219629,0.3862411,-0.02832346,-0.3842921,0.9214686,0.05670277,0.04800012,-0.04139337,0.9979892
6883,0.9224763,0.3849149,-0.02963276,-0.3828271,0.9219707,0.05842567,0.04980944,-0.04255207,0.9978518
