Packet Number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
906,0.7961473,0.8612218,-0.6305323
911,0.7681626,0.8819576,-0.6166146
916,0.7363558,0.8646624,-0.6729268
922,0.6458256,0.8846959,-0.6035331
927,0.6561746,0.8848971,-0.6244543
932,0.6566191,0.8949825,-0.5579275
937,0.6462063,0.9192728,-0.5333915
942,0.7500841,0.9241229,-0.6619422
947,0.771663,0.9237518,-0.5883279
952,0.8033436,0.934183,-0.5565238
957,0.851783,0.9871032,-0.5872112
962,0.9448259,1.051529,-0.704807
967,0.9649254,1.07331,-0.7848778
972,1.023095,1.113106,-0.8888963
977,1.005043,1.141249,-0.9237974
982,1.057003,1.176893,-0.947461
987,1.063724,1.201491,-0.9541583
992,1.067074,1.201649,-0.968111
997,1.087582,1.223067,-0.9956713
1002,1.046532,1.169845,-0.9511303
1007,1.133953,1.163638,-0.9572938
1012,1.109947,1.135227,-0.9333314
1017,1.061149,1.089568,-0.955222
1022,1.033747,1.050559,-0.9243298
1027,1.06241,1.015397,-0.8789286
1032,1.07355,0.9731585,-0.8407555
1037,1.122609,0.9560642,-0.8440036
1042,1.185255,0.9464996,-0.8890444
1047,1.258379,0.9302574,-0.9481013
1052,1.244842,0.9018672,-0.9205408
1057,1.223805,0.9190727,-0.9100306
1062,1.116167,0.906822,-0.820056
1067,1.167709,0.942975,-0.899717
1072,1.195199,0.9473343,-0.9589282
1077,1.194727,0.9755977,-0.986616
1083,1.15912,1.034884,-1.000309
1088,1.123876,1.066052,-1.000321
1093,1.071719,1.072236,-0.9622781
1098,1.044034,1.068189,-0.9310693
1103,1.002505,1.07439,-0.8789432
1108,0.9750313,1.063304,-0.8338305
1113,0.9583191,1.006882,-0.7924898
1118,0.9409823,0.9718794,-0.8034217
1123,0.8369486,0.9077475,-0.7452951
1128,0.8435988,0.8594763,-0.833028
1133,0.8679731,0.8354647,-0.871496
1138,0.8921211,0.832531,-0.9203031
1143,0.9624813,0.7806374,-0.9202278
1148,1.018263,0.7882864,-0.9407915
1153,1.077204,0.8032804,-0.9962007
1158,1.121913,0.7978019,-1.111348
1163,1.173289,0.8274787,-1.226129
1168,1.204407,0.8662028,-1.218503
1173,1.235906,0.8871776,-1.186563
1178,1.215578,0.9068008,-1.078098
1183,1.233629,0.8992975,-1.015085
1188,1.20978,0.9189344,-0.9101164
1193,1.182242,0.935481,-0.840221
1198,1.262203,0.9506155,-0.8883908
1203,1.300555,0.9510679,-0.902057
1208,1.279698,0.961123,-0.8776362
1213,1.238019,0.9603627,-0.8394969
1218,1.24076,0.9718113,-0.9233129
1223,1.2054,0.9789281,-0.9620088
1228,1.159514,0.9963501,-0.9937006
1233,1.159176,1.010583,-1.018041
1238,1.121164,1.037471,-0.9411716
1244,1.152237,1.05549,-0.9686877
1249,1.144932,1.073088,-0.9860659
1254,1.078341,1.121215,-0.9582579
1259,1.025635,1.176543,-0.9372944
1264,0.973343,1.186402,-0.913266
1269,0.9182267,1.206128,-0.8157266
1274,0.9463807,1.213147,-0.7943885
1279,0.9365206,1.212593,-0.7350428
1284,0.9157649,1.205329,-0.7178339
1289,0.9533362,1.192359,-0.8119743
1294,0.8839218,1.187998,-0.7637679
1299,0.8180941,1.162761,-0.7191652
1304,0.7765523,1.134303,-0.6917796
1309,0.8184538,1.110284,-0.7160391
