Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
257,-1.5,0.4375,-0.0625,0.01904297,-0.06005859,1.012695,0.2124023,0.03369141,-0.4487305
258,-1.75,0.375,-0.125,0.02685547,-0.04052734,1.012695,0.2124023,0.03369141,-0.4487305
262,-1.8125,0.3125,-0.5625,0.02294922,-0.02099609,1.005371,0.2124023,0.03369141,-0.4487305
263,-1.6875,0.5625,-0.375,0.02685547,-0.06005859,1.001465,0.2124023,0.03369141,-0.4487305
267,-2,0.25,-0.75,0.03076172,-0.05224609,0.9936523,0.2050781,0.04345703,-0.4360352
268,-2.4375,0.125,-1,0.03076172,-0.05615234,1.005371,0.2050781,0.04345703,-0.4360352
272,-2.25,-0.1875,-1.375,0.01123047,-0.05615234,0.9858398,0.2050781,0.04345703,-0.4360352
274,-1.4375,-0.1875,-1.5,-0.01220703,-0.06396484,0.9897461,0.2021484,0.04345703,-0.4487305
278,-1.3125,-0.6875,-1.6875,0.01904297,-0.05615234,0.9741211,0.2021484,0.04345703,-0.4487305
279,-0.6875,-0.8125,-1.375,0.003417969,-0.06396484,1.001465,0.2021484,0.04345703,-0.4487305
283,-1.1875,-0.6875,-1.3125,0.01123047,-0.07177734,0.9819336,0.2021484,0.04345703,-0.4487305
284,-1.4375,-0.375,-1.4375,0.01904297,-0.05224609,0.9975586,0.2021484,0.04345703,-0.4487305
288,-1.3125,-0.1875,-1.625,0.01513672,-0.06396484,0.9858398,0.2021484,0.04345703,-0.4487305
289,-0.8125,-0.0625,-1.75,0.01123047,-0.04443359,1.001465,0.2021484,0.04345703,-0.4487305
293,-0.4375,0.25,-1.8125,0,-0.02880859,0.9897461,0.2075195,0.04101563,-0.4384766
294,0,0.625,-1.75,0.01904297,-0.01708984,1.016602,0.2075195,0.04101563,-0.4384766
298,-0.375,1.1875,-1.5625,0.003417969,-0.03662109,1.032227,0.2075195,0.04101563,-0.4384766
299,-0.5,1.125,-1.5625,0.01513672,-0.02880859,1.005371,0.2050781,0.04345703,-0.4462891
303,-0.75,1.5,-1.125,0.003417969,-0.03662109,0.9819336,0.2050781,0.04345703,-0.4462891
304,-1.125,1.3125,-0.6875,0.01513672,-0.06787109,1.005371,0.2050781,0.04345703,-0.4462891
308,-1.5625,1.1875,-0.1875,0.01513672,-0.05224609,1.005371,0.2050781,0.04345703,-0.4462891
309,-1.3125,0.75,0.125,0.007324219,-0.05224609,1.020508,0.2124023,0.03125,-0.4438477
313,-0.75,0.25,0.3125,0.01123047,-0.04833984,0.9975586,0.2124023,0.03125,-0.4438477
314,-0.3125,-0.1875,0.375,0.01904297,-0.04443359,1.005371,0.2124023,0.03125,-0.4438477
318,-0.4375,-0.3125,0.75,-0.00390625,-0.06787109,0.9897461,0.2148438,0.03857422,-0.4462891
319,-0.625,-0.0625,1,0.01904297,-0.05615234,1.005371,0.2148438,0.03857422,-0.4462891
323,-0.25,0,1.4375,0.01123047,-0.04833984,0.9897461,0.2148438,0.03857422,-0.4462891
324,-0.3125,0,1.9375,0.01904297,-0.04052734,0.9936523,0.1923828,0.03369141,-0.4414063
328,-0.8125,0.0625,1.625,0.03076172,-0.05224609,1.005371,0.1923828,0.03369141,-0.4414063
329,-1.0625,0,1.375,0,-0.02880859,0.9897461,0.1923828,0.03369141,-0.4414063
333,-1.1875,-0.375,1.375,0.01904297,-0.04833984,1.001465,0.1923828,0.03369141,-0.4414063
334,-1.25,-0.625,0.9375,0.01904297,-0.05224609,1.012695,0.199707,0.04833984,-0.4438477
338,-0.625,-0.9375,0.6875,0.01123047,-0.04443359,1.001465,0.199707,0.04833984,-0.4438477
339,-0.25,-0.9375,0.5625,0.01513672,-0.04833984,0.9858398,0.199707,0.04833984,-0.4438477
343,-0.3125,-0.75,0.3125,0.01123047,-0.04052734,0.9858398,0.2075195,0.04101563,-0.4384766
344,-0.5625,-0.25,0.0625,0.02294922,-0.04443359,0.9858398,0.2075195,0.04101563,-0.4384766
348,-1,-0.0625,0.25,0.02294922,-0.06787109,1.005371,0.2075195,0.04101563,-0.4384766
349,-1.1875,0,0,0.01904297,-0.04833984,1.001465,0.2075195,0.04101563,-0.4384766
353,-0.8125,0.0625,-0.3125,0.01904297,-0.05224609,0.9936523,0.2075195,0.04101563,-0.4384766
354,-0.4375,0.3125,-0.5625,0.01904297,-0.05615234,0.9897461,0.2075195,0.04101563,-0.4384766
358,-0.3125,0.375,-0.5,0.01904297,-0.03271484,0.9975586,0.2075195,0.04101563,-0.4384766
359,-0.25,0.875,-0.625,0.01904297,-0.04833984,0.9780273,0.2124023,0.03857422,-0.4462891
363,-0.3125,1.3125,-0.5625,-0.00390625,-0.03662109,1.001465,0.2124023,0.03857422,-0.4462891
364,-0.75,1.25,-0.6875,-0.00390625,-0.05224609,1.016602,0.2124023,0.03857422,-0.4462891
368,-0.75,1.25,-0.5625,0.01513672,-0.05615234,1.005371,0.2099609,0.02587891,-0.4511719
369,-0.875,1.8125,-0.25,0.003417969,-0.05615234,1.016602,0.2099609,0.02587891,-0.4511719
373,-1.375,2.1875,0,0,-0.04052734,1.005371,0.2099609,0.02587891,-0.4511719
374,-1.25,2.5,-0.125,0.003417969,-0.03662109,0.9897461,0.2099609,0.02587891,-0.4511719
378,-1.25,2.875,-0.1875,0.02294922,-0.03662109,1.005371,0.2021484,0.03857422,-0.4462891
379,-0.9375,3.1875,-0.125,0,-0.04052734,1.024414,0.2021484,0.03857422,-0.4462891
383,-0.875,2.9375,-0.125,0.01123047,-0.04443359,0.9936523,0.2021484,0.03857422,-0.4462891
384,-1.0625,3.1875,0,0.007324219,-0.05615234,1.009277,0.2124023,0.04345703,-0.4462891
388,-0.875,3,0,-0.00390625,-0.03662109,0.9936523,0.2124023,0.04345703,-0.4462891
389,-1,3,0.5625,0.01123047,-0.07177734,1.02832,0.2124023,0.04345703,-0.4462891
393,-1.25,3,0.4375,0.01123047,-0.06396484,1.009277,0.2124023,0.04345703,-0.4462891
394,-0.875,3.125,0.875,0.02294922,-0.05615234,1.009277,0.2124023,0.04345703,-0.4462891
398,-0.5,2.875,0.9375,0.007324219,-0.04833984,1.001465,0.2124023,0.04345703,-0.4462891
399,-0.0625,2.9375,1.125,0.02294922,-0.07177734,1.005371,0.2124023,0.04345703,-0.4462891
403,0.25,2.9375,1.1875,0.01904297,-0.06396484,0.9819336,0.2075195,0.03857422,-0.4536133
404,-0.125,3.125,1.5,0.01904297,-0.07177734,0.9819336,0.2075195,0.03857422,-0.4536133
